symbol,date,price
FND452.NZ,2025-11-01,1.5706
FND452.NZ,2025-11-04,1.5737
FND452.NZ,2025-11-05,1.5675
FND452.NZ,2025-11-06,1.5697
FND452.NZ,2025-11-07,1.5663
FND452.NZ,2025-11-08,1.5686
FND452.NZ,2025-11-11,1.5796
FND452.NZ,2025-11-12,1.5823
FND452.NZ,2025-11-13,1.5862
FND452.NZ,2025-11-14,1.5735
FND452.NZ,2025-11-15,1.5656
FND452.NZ,2025-11-18,1.561
FND452.NZ,2025-11-19,1.5492
FND452.NZ,2025-11-20,1.5534
FND452.NZ,2025-11-21,1.5477
FND452.NZ,2025-11-22,1.5525
FND452.NZ,2025-11-25,1.5636
FND452.NZ,2025-11-26,1.5733
FND452.NZ,2025-11-27,1.577
FND452.NZ,2025-11-28,1.5724
FND452.NZ,2025-11-29,1.5762
FND452.NZ,2025-12-02,1.5705
FND452.NZ,2025-12-03,1.5726
FND452.NZ,2025-12-04,1.5747
FND452.NZ,2025-12-05,1.575
FND452.NZ,2025-12-06,1.5749
FND452.NZ,2025-12-09,1.5726
FND452.NZ,2025-12-10,1.5678
FND452.NZ,2025-12-11,1.5711
FND452.NZ,2025-12-12,1.5725
FND452.NZ,2025-12-13,1.5705
FND452.NZ,2025-12-16,1.5695
FND452.NZ,2025-12-17,1.565
FND452.NZ,2025-12-18,1.5586
FND452.NZ,2025-12-19,1.5633
FND452.NZ,2025-12-20,1.5719
FND452.NZ,2025-12-23,1.5776
FND452.NZ,2025-12-24,1.5791
FND452.NZ,2025-12-25,1.5812
FND452.NZ,2025-12-30,1.582
FND452.NZ,2025-12-31,1.5829
FND452.NZ,2026-01-01,1.5822
FND452.NZ,2026-01-06,1.5933
FND452.NZ,2026-01-07,1.1965
FND452.NZ,2026-01-08,1.5996
FND452.NZ,2026-01-09,1.6011
FND452.NZ,2026-01-10,1.6078
FND452.NZ,2026-01-13,1.6077
FND452.NZ,2026-01-14,1.6084
FND452.NZ,2026-01-15,1.6103
FND452.NZ,2026-01-16,1.6121
FND452.NZ,2026-01-17,1.613
FND452.NZ,2026-01-20,1.6053
FND452.NZ,2026-01-21,1.5874
FND452.NZ,2026-01-22,1.5904
FND452.NZ,2026-01-23,1.596
FND452.NZ,2026-01-24,1.5937
FND452.NZ,2026-01-27,1.5932
FND452.NZ,2026-01-28,1.5986
FND452.NZ,2026-01-29,1.5959
FND452.NZ,2026-01-30,1.5939
FND452.NZ,2026-01-31,1.5882
FND452.NZ,2026-02-03,1.5918
FND452.NZ,2026-02-04,1.5899
FND452.NZ,2026-02-05,1.5926
FND452.NZ,2026-02-06,1.5845
FND452.NZ,2026-02-10,1.6014
FND452.NZ,2026-02-11,1.6045
FND452.NZ,2026-02-12,1.6086
FND452.NZ,2026-02-13,1.5997
FND452.NZ,2026-02-14,1.5965
FND452.NZ,2026-02-17,1.5956
FND452.NZ,2026-02-18,1.596
FND452.NZ,2026-02-19,1.6061
FND452.NZ,2026-02-20,1.6091
FND452.NZ,2026-02-21,1.6124
FND452.NZ,2026-02-24,1.6106
FND452.NZ,2026-02-25,1.6175
FND452.NZ,2026-02-26,1.6225
FND452.NZ,2026-02-27,1.6257
FND452.NZ,2026-02-28,1.6243
FND452.NZ,2026-03-03,1.622
FND452.NZ,2026-03-04,1.6048
FND452.NZ,2026-03-05,1.5977
FND452.NZ,2026-03-06,1.5981
FND452.NZ,2026-03-07,1.5864
FND452.NZ,2026-03-10,1.573
FND452.NZ,2026-03-11,1.5788
FND452.NZ,2026-03-12,1.5835
FND452.NZ,2026-03-13,1.5711
FND452.NZ,2026-03-14,1.5676
FND452.NZ,2026-03-17,1.5713
FND452.NZ,2026-03-18,1.5759
